#latency,cnt,cdf
0,894,0.000272
10,116,0.000307
20,113,0.000342
30,165,0.000392
40,178,0.000446
50,237,0.000518
60,306,0.000612
70,524,0.000771
80,957,0.001062
90,5739,0.002809
100,799114,0.246052
110,403318,0.368818
120,432788,0.500554
130,48014,0.515169
140,50935,0.530673
150,44990,0.544368
160,33093,0.554441
170,23166,0.561492
180,24253,0.568875
190,20387,0.57508
200,97868,0.60487
210,25137,0.612522
220,214604,0.677845
230,132877,0.718292
240,93884,0.746869
250,63004,0.766047
260,56807,0.783338
270,53976,0.799768
280,49818,0.814932
290,44412,0.828451
300,41469,0.841074
310,38029,0.852649
320,33322,0.862792
330,29552,0.871787
340,26209,0.879765
350,23284,0.886853
360,20368,0.893053
370,17830,0.89848
380,15705,0.90326
390,14050,0.907537
400,12073,0.911212
410,10432,0.914387
420,9408,0.917251
430,8301,0.919778
440,7429,0.922039
450,6638,0.92406
460,6011,0.925889
470,5489,0.92756
480,5051,0.929097
490,4625,0.930505
500,4421,0.931851
510,3911,0.933041
520,3674,0.93416
530,3537,0.935236
540,3454,0.936288
550,3227,0.93727
560,3116,0.938219
570,3125,0.93917
580,2880,0.940046
590,2750,0.940883
600,2760,0.941724
610,2713,0.942549
620,2583,0.943336
630,2489,0.944093
640,2446,0.944838
650,2371,0.94556
660,2334,0.94627
670,2346,0.946984
680,2384,0.94771
690,2226,0.948387
700,2303,0.949088
710,2307,0.949791
720,2384,0.950516
730,2521,0.951284
740,2517,0.95205
750,2625,0.952849
760,2411,0.953583
770,2352,0.954299
780,2225,0.954976
790,2158,0.955633
800,2005,0.956243
810,2028,0.95686
820,1975,0.957461
830,1738,0.957991
840,1640,0.95849
850,1440,0.958928
860,1356,0.959341
870,1277,0.959729
880,1249,0.96011
890,1168,0.960465
900,1137,0.960811
910,1131,0.961156
920,1019,0.961466
930,1067,0.961791
940,973,0.962087
950,972,0.962383
960,902,0.962657
970,931,0.962941
980,918,0.96322
990,932,0.963504
1000,839,0.963759
1010,803,0.964003
1020,868,0.964268
1030,805,0.964513
1040,755,0.964742
1050,797,0.964985
1060,800,0.965229
1070,807,0.965474
1080,797,0.965717
1090,739,0.965942
1100,784,0.96618
1110,820,0.96643
1120,742,0.966656
1130,766,0.966889
1140,724,0.967109
1150,789,0.96735
1160,806,0.967595
1170,735,0.967819
1180,761,0.96805
1190,729,0.968272
1200,774,0.968508
1210,762,0.96874
1220,758,0.96897
1230,729,0.969192
1240,738,0.969417
1250,776,0.969653
1260,787,0.969893
1270,706,0.970108
1280,821,0.970358
1290,746,0.970585
1300,734,0.970808
1310,726,0.971029
1320,698,0.971242
1330,754,0.971471
1340,777,0.971708
1350,760,0.971939
1360,740,0.972164
1370,766,0.972397
1380,691,0.972608
1390,770,0.972842
1400,715,0.97306
1410,761,0.973291
1420,734,0.973515
1430,821,0.973765
1440,739,0.97399
1450,759,0.974221
1460,750,0.974449
1470,755,0.974679
1480,788,0.974919
1490,767,0.975152
1500,779,0.975389
1510,768,0.975623
1520,799,0.975866
1530,708,0.976082
1540,744,0.976308
1550,764,0.976541
1560,769,0.976775
1570,806,0.97702
1580,759,0.977251
1590,762,0.977483
1600,739,0.977708
1610,754,0.977938
1620,767,0.978171
1630,772,0.978406
1640,772,0.978641
1650,775,0.978877
1660,783,0.979115
1670,764,0.979348
1680,746,0.979575
1690,741,0.9798
1700,727,0.980022
1710,730,0.980244
1720,742,0.98047
1730,762,0.980702
1740,783,0.98094
1750,783,0.981178
1760,856,0.981439
1770,817,0.981688
1780,841,0.981944
1790,849,0.982202
1800,905,0.982477
1810,807,0.982723
1820,912,0.983001
1830,925,0.983282
1840,949,0.983571
1850,992,0.983873
1860,908,0.98415
1870,865,0.984413
1880,897,0.984686
1890,847,0.984944
1900,803,0.985188
1910,772,0.985423
1920,738,0.985648
1930,754,0.985877
1940,683,0.986085
1950,681,0.986292
1960,658,0.986493
1970,678,0.986699
1980,596,0.98688
1990,551,0.987048
2000,627,0.987239
2010,517,0.987396
2020,623,0.987586
2030,572,0.98776
2040,575,0.987935
2050,596,0.988117
2060,596,0.988298
2070,568,0.988471
2080,572,0.988645
2090,569,0.988818
2100,549,0.988985
2110,544,0.989151
2120,563,0.989322
2130,532,0.989484
2140,517,0.989642
2150,545,0.989807
2160,493,0.989958
2170,494,0.990108
2180,519,0.990266
2190,506,0.99042
2200,516,0.990577
2210,518,0.990735
2220,503,0.990888
2230,476,0.991033
2240,572,0.991207
2250,590,0.991386
2260,644,0.991582
2270,606,0.991767
2280,604,0.991951
2290,602,0.992134
2300,623,0.992324
2310,628,0.992515
2320,630,0.992706
2330,541,0.992871
2340,543,0.993036
2350,546,0.993203
2360,549,0.99337
2370,489,0.993519
2380,419,0.993646
2390,394,0.993766
2400,365,0.993877
2410,331,0.993978
2420,285,0.994065
2430,299,0.994156
2440,260,0.994235
2450,245,0.994309
2460,217,0.994375
2470,222,0.994443
2480,220,0.99451
2490,218,0.994576
2500,222,0.994644
2510,233,0.994715
2520,205,0.994777
2530,196,0.994837
2540,200,0.994898
2550,195,0.994957
2560,210,0.995021
2570,203,0.995083
2580,183,0.995139
2590,174,0.995192
2600,178,0.995246
2610,175,0.995299
2620,174,0.995352
2630,177,0.995406
2640,152,0.995452
2650,171,0.995504
2660,167,0.995555
2670,158,0.995603
2680,192,0.995661
2690,154,0.995708
2700,157,0.995756
2710,169,0.995808
2720,150,0.995853
2730,150,0.995899
2740,155,0.995946
2750,155,0.995993
2760,159,0.996042
2770,160,0.99609
2780,152,0.996137
2790,141,0.99618
2800,151,0.996226
2810,123,0.996263
2820,138,0.996305
2830,116,0.99634
2840,140,0.996383
2850,128,0.996422
2860,133,0.996462
2870,124,0.9965
2880,127,0.996539
2890,108,0.996572
2900,146,0.996616
2910,125,0.996654
2920,114,0.996689
2930,119,0.996725
2940,120,0.996762
2950,123,0.996799
2960,119,0.996835
2970,128,0.996874
2980,107,0.996907
2990,103,0.996938
3000,113,0.996973
3010,116,0.997008
3020,105,0.99704
3030,129,0.997079
3040,92,0.997107
3050,116,0.997142
3060,103,0.997174
3070,109,0.997207
3080,118,0.997243
3090,95,0.997272
3100,96,0.997301
3110,116,0.997336
3120,101,0.997367
3130,114,0.997402
3140,91,0.997429
3150,109,0.997463
3160,106,0.997495
3170,91,0.997523
3180,98,0.997552
3190,99,0.997583
3200,108,0.997615
3210,96,0.997645
3220,100,0.997675
3230,107,0.997708
3240,92,0.997736
3250,76,0.997759
3260,98,0.997789
3270,78,0.997812
3280,89,0.997839
3290,95,0.997868
3300,90,0.997896
3310,98,0.997926
3320,84,0.997951
3330,60,0.997969
3340,87,0.997996
3350,89,0.998023
3360,76,0.998046
3370,77,0.99807
3380,90,0.998097
3390,71,0.998119
3400,91,0.998146
3410,106,0.998179
404180,1,0.999753
404190,1,0.999753
405040,1,0.999753
405060,1,0.999754
406380,1,0.999754
409440,1,0.999754
409900,1,0.999755
409910,1,0.999755
409940,1,0.999755
410270,1,0.999756
410720,1,0.999756
411050,1,0.999756
411250,1,0.999757
411300,1,0.999757
411520,1,0.999757
411870,1,0.999757
412380,1,0.999758
412550,1,0.999758
413190,1,0.999758
413210,1,0.999759
413430,1,0.999759
413450,1,0.999759
413710,1,0.99976
413930,1,0.99976
414340,1,0.99976
414730,1,0.99976
415040,2,0.999761
415190,1,0.999761
415270,1,0.999762
415330,1,0.999762
415360,1,0.999762
415440,1,0.999763
415470,1,0.999763
415530,1,0.999763
415640,1,0.999763
415650,1,0.999764
415710,1,0.999764
415760,1,0.999764
415800,1,0.999765
415840,1,0.999765
415910,1,0.999765
416180,1,0.999766
416220,1,0.999766
416260,1,0.999766
416270,1,0.999767
416310,1,0.999767
416430,1,0.999767
416490,1,0.999767
416580,1,0.999768
416670,1,0.999768
416700,1,0.999768
416710,1,0.999769
416740,1,0.999769
416780,1,0.999769
416850,1,0.99977
416880,1,0.99977
416910,1,0.99977
417180,1,0.99977
417200,1,0.999771
417300,1,0.999771
417310,1,0.999771
417540,1,0.999772
417870,1,0.999772
417900,1,0.999772
418010,1,0.999773
418220,1,0.999773
418640,1,0.999773
418700,1,0.999774
418910,1,0.999774
419000,1,0.999774
419110,1,0.999774
419270,1,0.999775
419310,1,0.999775
419390,1,0.999775
419400,1,0.999776
419510,1,0.999776
419520,1,0.999776
419530,1,0.999777
419550,1,0.999777
419580,1,0.999777
419880,1,0.999777
419950,2,0.999778
420030,1,0.999778
420040,1,0.999779
420080,1,0.999779
420110,1,0.999779
420220,1,0.99978
420250,1,0.99978
420280,1,0.99978
420350,2,0.999781
420410,1,0.999781
420420,1,0.999781
420480,1,0.999782
420500,1,0.999782
420530,1,0.999782
420540,1,0.999783
420550,1,0.999783
420670,1,0.999783
420700,1,0.999784
420990,1,0.999784
421020,1,0.999784
421100,1,0.999784
421360,1,0.999785
421550,1,0.999785
421680,1,0.999785
421880,1,0.999786
422020,1,0.999786
422100,1,0.999786
422140,1,0.999787
422370,1,0.999787
422380,1,0.999787
422390,1,0.999788
422470,1,0.999788
422510,1,0.999788
422530,1,0.999788
