#latency,cnt,%
0,1836,0.000557
10,442,0.000691
20,531,0.000852
30,651,0.001049
40,792,0.001289
50,1103,0.001624
60,1308,0.00202
70,1848,0.002581
80,2526,0.003346
90,4083,0.004584
100,902525,0.278227
110,319081,0.374972
120,1168659,0.729306
130,184953,0.785383
140,131595,0.825282
150,101035,0.855916
160,80148,0.880216
170,50800,0.895619
180,37468,0.906979
190,33425,0.917113
200,26875,0.925262
210,17588,0.930594
220,12997,0.934535
230,11197,0.93793
240,8932,0.940638
250,6735,0.94268
260,5501,0.944348
270,4912,0.945837
280,4265,0.94713
290,3660,0.94824
300,3119,0.949186
310,2954,0.950081
320,2778,0.950924
330,2592,0.95171
340,2417,0.952442
350,2335,0.95315
360,2295,0.953846
370,2183,0.954508
380,2137,0.955156
390,2007,0.955764
400,2072,0.956393
410,2033,0.957009
420,1970,0.957606
430,1952,0.958198
440,1906,0.958776
450,1952,0.959368
460,1908,0.959946
470,1941,0.960535
480,1883,0.961106
490,1951,0.961697
500,1908,0.962276
510,1985,0.962878
520,1934,0.963464
530,1932,0.96405
540,1904,0.964627
550,1883,0.965198
560,1899,0.965774
570,1833,0.96633
580,1775,0.966868
590,1664,0.967372
600,1565,0.967847
610,1416,0.968276
620,1396,0.968699
630,1191,0.969061
640,1131,0.969403
650,1060,0.969725
660,1063,0.970047
670,959,0.970338
680,931,0.97062
690,912,0.970897
700,807,0.971141
710,894,0.971412
720,823,0.971662
730,790,0.971902
740,807,0.972146
750,852,0.972405
760,812,0.972651
770,793,0.972891
780,778,0.973127
790,796,0.973368
800,768,0.973601
810,779,0.973837
820,830,0.974089
830,785,0.974327
840,789,0.974566
850,783,0.974804
860,767,0.975036
870,780,0.975273
880,754,0.975501
890,816,0.975749
900,765,0.975981
910,760,0.976211
920,783,0.976449
930,765,0.976681
940,795,0.976922
950,782,0.977159
960,767,0.977391
970,775,0.977626
980,783,0.977864
990,775,0.978099
1000,820,0.978347
1010,803,0.978591
1020,756,0.97882
1030,766,0.979052
1040,814,0.979299
1050,791,0.979539
1060,778,0.979775
1070,830,0.980026
1080,813,0.980273
1090,820,0.980521
1100,789,0.980761
1110,822,0.98101
1120,802,0.981253
1130,832,0.981505
1140,799,0.981748
1150,844,0.982003
1160,810,0.982249
