#latency,cnt,%
0,7580,0.00317
10,760,0.003488
20,879,0.003856
30,1030,0.004286
40,1332,0.004843
50,1686,0.005549
60,2164,0.006454
70,2826,0.007636
80,4666,0.009587
90,15633,0.016125
100,873598,0.381486
110,166033,0.450926
120,980661,0.861063
130,87285,0.897568
140,70530,0.927066
150,53263,0.949342
160,40284,0.966189
170,23090,0.975846
180,14802,0.982037
190,10699,0.986511
200,8460,0.99005
210,5165,0.99221
220,3764,0.993784
230,3352,0.995186
240,2318,0.996155
250,1721,0.996875
260,1329,0.997431
270,1213,0.997938
280,857,0.998297
290,638,0.998563
300,525,0.998783
310,442,0.998968

