#latency,cnt,cdf
0,7842,0.003296
10,856,0.003656
20,1036,0.004092
30,1185,0.00459
40,1757,0.005328
50,2272,0.006283
60,2729,0.00743
70,3352,0.008839
80,5313,0.011073
90,16756,0.018116
100,689645,0.307999
110,153415,0.372485
120,788252,0.703816
130,83010,0.738708
140,63319,0.765323
150,45056,0.784262
160,32214,0.797803
170,18095,0.805409
180,12321,0.810588
190,9841,0.814724
200,25049,0.825253
210,59989,0.850469
220,148159,0.912745
230,39232,0.929236
240,97534,0.970233
250,26017,0.981169
260,7734,0.98442
270,5461,0.986715
280,4058,0.988421
290,2800,0.989598
300,2112,0.990486
310,1686,0.991194
320,1477,0.991815
330,1104,0.992279
340,885,0.992651
350,698,0.992945
360,548,0.993175
370,437,0.993359
380,341,0.993502
390,296,0.993626
400,256,0.993734
410,198,0.993817
420,169,0.993888
430,147,0.99395
440,136,0.994007
450,94,0.994047
460,93,0.994086
470,64,0.994113
480,61,0.994138
490,74,0.99417
500,53,0.994192
510,70,0.994221
520,49,0.994242
530,30,0.994254
540,37,0.99427
550,36,0.994285
560,33,0.994299
570,36,0.994314
580,22,0.994323
590,35,0.994338
600,27,0.994349
610,23,0.994359
620,24,0.994369
630,19,0.994377
640,33,0.994391
650,33,0.994405
660,36,0.99442
670,51,0.994441
680,41,0.994459
690,76,0.994491
700,89,0.994528
710,104,0.994572
720,180,0.994647
730,330,0.994786
740,462,0.99498
750,629,0.995245
760,641,0.995514
770,582,0.995759
780,429,0.995939
790,344,0.996084
800,257,0.996192
810,262,0.996302
820,329,0.99644
830,323,0.996576
840,343,0.99672
850,279,0.996837
860,179,0.996913
870,86,0.996949
880,54,0.996971
890,33,0.996985
900,16,0.996992
910,21,0.997001
920,16,0.997008
930,14,0.997014
940,11,0.997018
950,11,0.997023
960,12,0.997028
970,9,0.997032
980,10,0.997036
990,11,0.99704
1000,6,0.997043
1010,13,0.997048
1020,17,0.997056
1030,8,0.997059
1040,8,0.997062
1050,11,0.997067
1060,10,0.997071
1070,7,0.997074
1080,7,0.997077
1090,8,0.99708
1100,5,0.997082
1110,7,0.997085
1120,9,0.997089
1130,7,0.997092
1140,7,0.997095
1150,7,0.997098
1160,8,0.997101
1170,8,0.997105
1180,7,0.997108
1190,3,0.997109
1200,6,0.997111
1210,8,0.997115
1220,7,0.997118
1230,6,0.99712
1240,4,0.997122
1250,6,0.997124
1260,6,0.997127
1270,4,0.997129
1280,10,0.997133
1290,1,0.997133
1300,5,0.997135
1310,2,0.997136
1320,5,0.997138
1330,5,0.99714
1340,3,0.997142
1350,10,0.997146
1360,4,0.997148
1370,4,0.997149
1380,4,0.997151
1390,4,0.997153
1400,3,0.997154
1410,7,0.997157
1420,7,0.99716
1430,5,0.997162
1440,10,0.997166
1450,3,0.997167
1460,5,0.997169
1470,4,0.997171
1480,2,0.997172
1490,2,0.997173
1500,6,0.997175
1510,8,0.997179
1520,4,0.99718
1530,2,0.997181
1540,6,0.997184
1550,10,0.997188
1560,3,0.997189
1570,9,0.997193
1580,6,0.997196
1590,8,0.997199
1600,11,0.997204
1610,5,0.997206
1620,7,0.997209
1630,5,0.997211
1640,6,0.997213
1650,8,0.997217
1660,11,0.997221
1670,11,0.997226
1680,19,0.997234
1690,16,0.99724
1700,27,0.997252
1710,36,0.997267
1720,38,0.997283
1730,38,0.997299
1740,42,0.997317
1750,62,0.997343
1760,81,0.997377
1770,109,0.997423
1780,116,0.997471
1790,140,0.99753
1800,131,0.997585
1810,178,0.99766
1820,211,0.997749
1830,226,0.997844
1840,251,0.997949
1850,216,0.99804
1860,217,0.998131
1870,220,0.998224
1880,220,0.998316
1890,160,0.998383
1900,124,0.998435
1910,118,0.998485
1920,88,0.998522
1930,70,0.998552
1940,33,0.998565
1950,29,0.998578
1960,12,0.998583
1970,18,0.99859
1980,8,0.998594
1990,8,0.998597
2000,10,0.998601
2010,5,0.998603
2020,6,0.998606
2030,5,0.998608
2040,1,0.998608
2050,2,0.998609
2060,4,0.998611
2070,6,0.998613
2080,7,0.998616
2090,7,0.998619
2100,9,0.998623
2110,12,0.998628
2120,16,0.998635
2130,14,0.998641
2140,17,0.998648
2150,16,0.998654
2160,16,0.998661
2170,32,0.998675
2180,30,0.998687
2190,38,0.998703
2200,43,0.998721
2210,55,0.998744
2220,53,0.998767
2230,94,0.998806
2240,110,0.998852
2250,109,0.998898
2260,128,0.998952
2270,163,0.999021
2280,197,0.999103
2290,226,0.999198
2300,228,0.999294
2310,209,0.999382
2320,220,0.999475
2330,202,0.999559
2340,181,0.999636
2350,173,0.999708
2360,139,0.999767
2370,131,0.999822
2380,94,0.999861
2390,71,0.999891
2400,52,0.999913
2410,34,0.999927
2420,22,0.999937
2430,24,0.999947
2440,14,0.999952
2450,7,0.999955
2460,3,0.999957
2470,6,0.999959
2480,3,0.99996
2500,3,0.999962
2510,2,0.999963
2520,2,0.999963
2530,4,0.999965
2540,2,0.999966
2550,1,0.999966
2560,2,0.999967
2570,4,0.999969
2620,1,0.999969
2630,1,0.99997
2640,1,0.99997
2650,1,0.999971
2660,5,0.999973
2670,2,0.999974
2680,3,0.999975
2700,2,0.999976
2710,4,0.999977
2720,1,0.999978
2730,2,0.999979
2740,3,0.99998
2750,2,0.999981
2760,3,0.999982
2780,1,0.999982
2810,1,0.999983
2820,2,0.999984
2860,2,0.999984
2900,1,0.999985
2910,1,0.999985
2990,1,0.999986
3010,1,0.999986
3030,1,0.999987
3050,1,0.999987
3060,1,0.999987
3070,1,0.999988
3080,1,0.999988
3090,1,0.999989
3230,1,0.999989
3250,1,0.99999
3290,1,0.99999
3340,1,0.99999
3450,1,0.999991
3540,1,0.999991
3560,1,0.999992
3650,1,0.999992
3720,2,0.999993
3760,1,0.999993
3850,1,0.999994
4210,1,0.999994
4250,2,0.999995
4610,1,0.999995
5140,1,0.999996
5200,1,0.999996
7460,1,0.999997
8550,1,0.999997
9070,1,0.999997
9520,1,0.999998
10020,1,0.999998
10210,1,0.999999
39780,1,0.999999
47120,1,1
47280,1,1
